name,slug,% (of GDP),date_of_information,ranking,region
"Burkina Faso","burkina-faso","15.98","2021",132,"Africa"
"Fiji","fiji","15.87","2021",133,"Australia and Oceania"
"Burundi","burundi","15.8","2017",134,"Africa"
"Sierra Leone","sierra-leone","15.6","2017",135,"Africa"
"Pakistan","pakistan","15.4","2017",136,"South Asia"
"Colombia","colombia","15.35","2022",137,"South America"
"Timor-Leste","timor-leste","15.1","2021",138,"East and Southeast Asia"
"Rwanda","rwanda","15.08","2020",139,"Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","15.04","2020",140,"Central America and the Caribbean"
"Spain","spain","15.03","2021",141,"Europe"
"Brazil","brazil","14.97","2022",142,"South America"
"Romania","romania","14.96","2021",143,"Europe"
"Monaco","monaco","14.9","2011",144,"Europe"
"Liechtenstein","liechtenstein","14.9","2012",145,"Europe"
"Turkmenistan","turkmenistan","14.9","2017",146,"Central Asia"
"Uzbekistan","uzbekistan","14.79","2020",147,"Central Asia"
"Honduras","honduras","14.77","2020",148,"Central America and the Caribbean"
"Philippines","philippines","14.62","2022",149,"East and Southeast Asia"
"Dominican Republic","dominican-republic","14.38","2021",150,"Central America and the Caribbean"
"Thailand","thailand","14.32","2021",151,"East and Southeast Asia"
"Mali","mali","14.16","2020",152,"Africa"
"Vanuatu","vanuatu","14.04","2020",153,"Australia and Oceania"
"Costa Rica","costa-rica","14","2021",154,"Central America and the Caribbean"
"Togo","togo","13.58","2019",155,"Africa"
"Chad","chad","13.5","2017",156,"Africa"
"Mexico","mexico","13.45","2021",157,"North America"
"Azerbaijan","azerbaijan","13.42","2021",158,"Middle East"
"Czechia","czechia","13.36","2021",159,"Europe"
"Kenya","kenya","13.26","2021",160,"Africa"
"Ecuador","ecuador","13.21","2022",161,"South America"
"Singapore","singapore","13.12","2021",162,"East and Southeast Asia"
"Canada","canada","12.83","2022",163,"North America"
"Belarus","belarus","12.83","2021",164,"Europe"
"Cote d'Ivoire","cote-divoire","12.56","2021",165,"Africa"
