name,slug,%,date_of_information,ranking,region
"Honduras","honduras","4","2022",107,"Central America and the Caribbean"
"West Bank","west-bank","3.93","2022",108,"Middle East"
"Bulgaria","bulgaria","3.93","2022",109,"Europe"
"Gaza Strip","gaza-strip","3.93","2022",110,"Middle East"
"Mexico","mexico","3.9","2022",111,"North America"
"Madagascar","madagascar","3.8","2022",112,"Africa"
"Equatorial Guinea","equatorial-guinea","3.78","2022",113,"Africa"
"Iran","iran","3.78","2022",114,"Middle East"
"Nicaragua","nicaragua","3.75","2022",115,"Central America and the Caribbean"
"Mali","mali","3.73","2022",116,"Africa"
"Italy","italy","3.72","2022",117,"Europe"
"Cayman Islands","cayman-islands","3.67","2022",118,"Central America and the Caribbean"
"Singapore","singapore","3.65","2022",119,"East and Southeast Asia"
"Bolivia","bolivia","3.61","2022",120,"South America"
"Cameroon","cameroon","3.58","2022",121,"Africa"
"New Caledonia","new-caledonia","3.5","2022",122,"Australia and Oceania"
"Guinea-Bissau","guinea-bissau","3.5","2022",123,"Africa"
"Sierra Leone","sierra-leone","3.46","2022",124,"Africa"
"Canada","canada","3.44","2022",125,"North America"
"Puerto Rico","puerto-rico","3.36","2022",126,"Central America and the Caribbean"
"Latvia","latvia","3.36","2022",127,"Europe"
"Norway","norway","3.28","2022",128,"Europe"
"Nigeria","nigeria","3.25","2022",129,"Africa"
"Algeria","algeria","3.2","2022",130,"Africa"
"Kazakhstan","kazakhstan","3.2","2022",131,"Central Asia"
"Djibouti","djibouti","3.12","2022",132,"Africa"
"Ghana","ghana","3.08","2022",133,"Africa"
"Angola","angola","3.05","2022",134,"Africa"
"Belgium","belgium","3.01","2022",135,"Europe"
"China","china","2.99","2022",136,"East and Southeast Asia"
"Ecuador","ecuador","2.95","2022",137,"South America"
"Bermuda","bermuda","2.93","2022",138,"North America"
"Gabon","gabon","2.91","2022",139,"Africa"
"Brazil","brazil","2.9","2022",140,"South America"
"Virgin Islands","virgin-islands","2.85","2021",141,"Central America and the Caribbean"
"New Zealand","new-zealand","2.85","2022",142,"Australia and Oceania"
"Sweden","sweden","2.83","2022",143,"Europe"
"Denmark","denmark","2.73","2022",144,"Europe"
"Taiwan","taiwan","2.71","2019",145,"East and Southeast Asia"
"Laos","laos","2.71","2022",146,"East and Southeast Asia"
"Peru","peru","2.68","2022",147,"South America"
"Korea, South","korea-south","2.61","2022",148,"East and Southeast Asia"
"El Salvador","el-salvador","2.6","2022",149,"Central America and the Caribbean"
"Thailand","thailand","2.6","2022",150,"East and Southeast Asia"
"Switzerland","switzerland","2.57","2022",151,"Europe"
"Serbia","serbia","2.55","2022",152,"Europe"
"Slovenia","slovenia","2.46","2022",153,"Europe"
"France","france","2.45","2022",154,"Europe"
"Tunisia","tunisia","2.44","2022",155,"Africa"
"Chile","chile","2.44","2022",156,"South America"
"Lithuania","lithuania","2.44","2022",157,"Europe"
"Somalia","somalia","2.43","2022",158,"Africa"
"Jordan","jordan","2.43","2022",159,"Middle East"
"Suriname","suriname","2.43","2022",160,"South America"
"Comoros","comoros","2.39","2022",161,"Africa"
"Czechia","czechia","2.35","2022",162,"Europe"
"Chad","chad","2.24","2022",163,"Africa"
"North Macedonia","north-macedonia","2.15","2022",164,"Europe"
"British Virgin Islands","british-virgin-islands","2","2017",165,"Central America and the Caribbean"
"United States","united-states","1.94","2022",166,"North America"
"South Africa","south-africa","1.91","2022",167,"Africa"
"Vanuatu","vanuatu","1.85","2022",168,"Australia and Oceania"
"Burundi","burundi","1.85","2022",169,"Africa"
"Germany","germany","1.81","2022",170,"Europe"
"Liechtenstein","liechtenstein","1.8","2012",171,"Europe"
"Burkina Faso","burkina-faso","1.78","2022",172,"Africa"
"Cuba","cuba","1.77","2022",173,"Central America and the Caribbean"
"Slovakia","slovakia","1.75","2022",174,"Europe"
"American Samoa","american-samoa","1.74","2022",175,"Australia and Oceania"
"Turkmenistan","turkmenistan","1.7","2022",176,"Central Asia"
"Finland","finland","1.6","2022",177,"Europe"
"Nauru","nauru","1.57","2022",178,"Australia and Oceania"
"Kiribati","kiribati","1.56","2022",179,"Australia and Oceania"
"Congo, Republic of the","congo-republic-of-the","1.48","2022",180,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","1.48","2022",181,"Central America and the Caribbean"
"Luxembourg","luxembourg","1.38","2022",182,"Europe"
"Syria","syria","1.3","2021",183,"Middle East"
"Greenland","greenland","1.29","2021",184,"North America"
"Morocco","morocco","1.26","2022",185,"Africa"
"Lesotho","lesotho","1.11","2022",186,"Africa"
"Guam","guam","1.06","2021",187,"Australia and Oceania"
"Japan","japan","1.03","2022",188,"East and Southeast Asia"
"Malawi","malawi","0.92","2022",189,"Africa"
"Yemen","yemen","0.75","2018",190,"Middle East"
"Tuvalu","tuvalu","0.68","2022",191,"Australia and Oceania"
"Central African Republic","central-african-republic","0.5","2022",192,"Africa"
"Eswatini","eswatini","0.48","2022",193,"Africa"
"Paraguay","paraguay","0.08","2022",194,"South America"
"Sao Tome and Principe","sao-tome-and-principe","0.07","2022",195,"Africa"
"Marshall Islands","marshall-islands","-0.68","2022",196,"Australia and Oceania"
"Micronesia, Federated States of","micronesia-federated-states-of","-0.83","2022",197,"Australia and Oceania"
"Sudan","sudan","-0.95","2022",198,"Africa"
"Korea, North","korea-north","-1.1","2015",199,"East and Southeast Asia"
"Libya","libya","-1.24","2022",200,"Africa"
"Estonia","estonia","-1.29","2022",201,"Europe"
"Brunei","brunei","-1.63","2022",202,"East and Southeast Asia"
"Haiti","haiti","-1.68","2022",203,"Central America and the Caribbean"
