name,slug,%,date_of_information,ranking,region
"Honduras","honduras","15.5","2021",112,"Central America and the Caribbean"
"Latvia","latvia","15.5","2021",113,"Europe"
"Gambia, The","gambia-the","15.5","2021",114,"Africa"
"Guam","guam","15.3","2021",115,"Australia and Oceania"
"Luxembourg","luxembourg","15.2","2021",116,"Europe"
"Hong Kong","hong-kong","15","2021",117,"East and Southeast Asia"
"Venezuela","venezuela","14.9","2021",118,"South America"
"Bangladesh","bangladesh","14.7","2021",119,"South Asia"
"Oman","oman","14.6","2021",120,"Middle East"
"Eritrea","eritrea","14.6","2021",121,"Africa"
"Bulgaria","bulgaria","14.2","2021",122,"Europe"
"Ecuador","ecuador","14.2","2021",123,"South America"
"Canada","canada","14","2021",124,"North America"
"Slovenia","slovenia","13.9","2021",125,"Europe"
"Cayman Islands","cayman-islands","13.8","2015",126,"Central America and the Caribbean"
"Timor-Leste","timor-leste","13.8","2021",127,"East and Southeast Asia"
"Kenya","kenya","13.8","2021",128,"Africa"
"El Salvador","el-salvador","13.7","2021",129,"Central America and the Caribbean"
"Hungary","hungary","13.5","2021",130,"Europe"
"Poland","poland","13.4","2021",131,"Europe"
"Iceland","iceland","13.4","2021",132,"Europe"
"United Kingdom","united-kingdom","13.2","2021",133,"Europe"
"Norway","norway","13","2021",134,"Europe"
"Guinea-Bissau","guinea-bissau","12.8","2021",135,"Africa"
"Trinidad and Tobago","trinidad-and-tobago","12.7","2021",136,"Central America and the Caribbean"
"Central African Republic","central-african-republic","11.8","2021",137,"Africa"
"Cyprus","cyprus","11.8","2021",138,"Europe"
"Nicaragua","nicaragua","11.6","2021",139,"Central America and the Caribbean"
"New Zealand","new-zealand","11.4","2021",140,"Australia and Oceania"
"Austria","austria","11.4","2021",141,"Europe"
"China","china","11.4","2021",142,"East and Southeast Asia"
"Belarus","belarus","11.3","2021",143,"Europe"
"Peru","peru","11.2","2021",144,"South America"
"Tonga","tonga","11.1","2021",145,"Australia and Oceania"
"Turkmenistan","turkmenistan","11","2021",146,"Central Asia"
"Sierra Leone","sierra-leone","10.8","2021",147,"Africa"
"Australia","australia","10.8","2021",148,"Australia and Oceania"
"United Arab Emirates","united-arab-emirates","10.7","2021",149,"Middle East"
"Isle of Man","isle-of-man","10.1","2011",150,"Europe"
"Denmark","denmark","10.1","2021",151,"Europe"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","10.1","2021",152,"Africa"
"Malawi","malawi","9.9","2021",153,"Africa"
"Bahrain","bahrain","9.9","2021",154,"Middle East"
"Malta","malta","9.8","2021",155,"Europe"
"Togo","togo","9.7","2021",156,"Africa"
"Netherlands","netherlands","9.6","2021",157,"Europe"
"Ghana","ghana","9.6","2021",158,"Africa"
"United States","united-states","9.6","2021",159,"North America"
"Nepal","nepal","9.5","2021",160,"South Asia"
"Pakistan","pakistan","9.4","2021",161,"South Asia"
"Macau","macau","9.2","2021",162,"East and Southeast Asia"
"Switzerland","switzerland","9.1","2021",163,"Europe"
"Singapore","singapore","9.1","2021",164,"East and Southeast Asia"
"Israel","israel","8.8","2021",165,"Middle East"
"Moldova","moldova","8.6","2021",166,"Europe"
"Guinea","guinea","8.2","2021",167,"Africa"
"Mozambique","mozambique","8.1","2021",168,"Africa"
"Mexico","mexico","8.1","2021",169,"North America"
"Korea, South","korea-south","7.8","2021",170,"East and Southeast Asia"
"Burkina Faso","burkina-faso","7.7","2021",171,"Africa"
"Czechia","czechia","7.6","2021",172,"Europe"
"Cuba","cuba","7.4","2021",173,"Central America and the Caribbean"
"Zimbabwe","zimbabwe","7.3","2021",174,"Africa"
"Philippines","philippines","7.3","2021",175,"East and Southeast Asia"
"Guatemala","guatemala","7.2","2021",176,"Central America and the Caribbean"
"Vietnam","vietnam","7.2","2021",177,"East and Southeast Asia"
"Germany","germany","7","2021",178,"Europe"
"Thailand","thailand","7","2021",179,"East and Southeast Asia"
"Cameroon","cameroon","6.6","2021",180,"Africa"
"Burma","burma","6.4","2021",181,"East and Southeast Asia"
"Korea, North","korea-north","6.1","2021",182,"East and Southeast Asia"
"Ethiopia","ethiopia","5.7","2021",183,"Africa"
"Cote d'Ivoire","cote-divoire","5.7","2021",184,"Africa"
"Palau","palau","5.6","2014",185,"Australia and Oceania"
"Vanuatu","vanuatu","5.4","2021",186,"Australia and Oceania"
"Papua New Guinea","papua-new-guinea","5.3","2021",187,"East and Southeast Asia"
"Senegal","senegal","5","2021",188,"Africa"
"Madagascar","madagascar","4.8","2021",189,"Africa"
"Tanzania","tanzania","4.6","2021",190,"Africa"
"Japan","japan","4.4","2021",191,"East and Southeast Asia"
"Uganda","uganda","4.3","2021",192,"Africa"
"Benin","benin","3.9","2021",193,"Africa"
"Kazakhstan","kazakhstan","3.7","2021",194,"Central Asia"
"Burundi","burundi","3.4","2021",195,"Africa"
"Laos","laos","3.3","2021",196,"East and Southeast Asia"
"Liberia","liberia","3.2","2021",197,"Africa"
"Rwanda","rwanda","2.9","2021",198,"Africa"
"Chad","chad","2.4","2021",199,"Africa"
"Solomon Islands","solomon-islands","1.9","2021",200,"Australia and Oceania"
"Cambodia","cambodia","1.8","2021",201,"East and Southeast Asia"
"Qatar","qatar","1.1","2021",202,"Middle East"
"Niger","niger","1","2021",203,"Africa"
