name,slug,%,date_of_information,ranking,region
"Libya","libya","19.3","2022",205,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","19.55","2022",206,"Central America and the Caribbean"
"Namibia","namibia","19.99","2022",207,"Africa"
"Congo, Republic of the","congo-republic-of-the","20.48","2022",208,"Africa"
"Gabon","gabon","20.61","2022",209,"Africa"
"Eswatini","eswatini","22.64","2022",210,"Africa"
"Nauru","nauru","23","2011",211,"Australia and Oceania"
"Botswana","botswana","23.62","2022",212,"Africa"
"Grenada","grenada","24","2017",213,"Central America and the Caribbean"
"West Bank","west-bank","24.42","2022",214,"Middle East"
"Gaza Strip","gaza-strip","24.42","2022",215,"Middle East"
"Djibouti","djibouti","26.67","2022",216,"Africa"
"South Africa","south-africa","28.84","2022",217,"Africa"
"Kosovo","kosovo","30.5","2017",218,"Europe"
"Kiribati","kiribati","30.6","2010",219,"Australia and Oceania"
