name,slug, migrant(s)/1,000 population,date_of_information,ranking,region
"Paraguay","paraguay","-0.1","2023",98,"South America"
"Ethiopia","ethiopia","-0.1","2023",99,"Africa"
"Congo, Republic of the","congo-republic-of-the","-0.1","2023",100,"Africa"
"Argentina","argentina","-0.1","2023",101,"South America"
"Afghanistan","afghanistan","-0.1","2023",102,"South Asia"
"China","china","-0.1","2023",103,"East and Southeast Asia"
"Chad","chad","-0.1","2023",104,"Africa"
"Kenya","kenya","-0.2","2023",105,"Africa"
"Brazil","brazil","-0.2","2023",106,"South America"
"Angola","angola","-0.2","2023",107,"Africa"
"Vietnam","vietnam","-0.2","2023",108,"East and Southeast Asia"
"Ghana","ghana","-0.2","2023",109,"Africa"
"Yemen","yemen","-0.2","2023",110,"Middle East"
"Nigeria","nigeria","-0.2","2023",111,"Africa"
"Thailand","thailand","-0.2","2023",112,"East and Southeast Asia"
"Bulgaria","bulgaria","-0.3","2023",113,"Europe"
"South Africa","south-africa","-0.3","2023",114,"Africa"
"Barbados","barbados","-0.3","2023",115,"Central America and the Caribbean"
"Iran","iran","-0.3","2023",116,"Middle East"
"Cameroon","cameroon","-0.3","2023",117,"Africa"
"Croatia","croatia","-0.3","2023",118,"Europe"
"Egypt","egypt","-0.3","2023",119,"Africa"
"Kazakhstan","kazakhstan","-0.4","2023",120,"Central Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","-0.4","2023",121,"Europe"
"Tanzania","tanzania","-0.4","2023",122,"Africa"
"Algeria","algeria","-0.4","2023",123,"Africa"
"Azerbaijan","azerbaijan","-0.4","2023",124,"Middle East"
"Oman","oman","-0.5","2023",125,"Middle East"
"Burkina Faso","burkina-faso","-0.6","2023",126,"Africa"
"Cabo Verde","cabo-verde","-0.6","2023",127,"Africa"
"Niger","niger","-0.6","2023",128,"Africa"
"French Polynesia","french-polynesia","-0.6","2023",129,"Australia and Oceania"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","-0.6","2023",130,"Africa"
"Paracel Islands","paracel-islands","-0.66","2021",131,"East and Southeast Asia"
"Indonesia","indonesia","-0.7","2023",132,"East and Southeast Asia"
