name,slug, births/1,000 population,date_of_information,ranking,region
"Nicaragua","nicaragua","16.6","2023",97,"Central America and the Caribbean"
"India","india","16.5","2023",98,"South Asia"
"Fiji","fiji","16.3","2023",99,"Australia and Oceania"
"American Samoa","american-samoa","16.2","2023",100,"Australia and Oceania"
"Paraguay","paraguay","16.2","2023",101,"South America"
"Burma","burma","16.1","2023",102,"East and Southeast Asia"
"Brunei","brunei","16","2023",103,"East and Southeast Asia"
"Jamaica","jamaica","15.8","2023",104,"Central America and the Caribbean"
"Northern Mariana Islands","northern-mariana-islands","15.6","2023",105,"Australia and Oceania"
"Bhutan","bhutan","15.6","2023",106,"South Asia"
"Mongolia","mongolia","15.4","2023",107,"East and Southeast Asia"
"Argentina","argentina","15.4","2023",108,"South America"
"Maldives","maldives","15.3","2023",109,"South Asia"
"Vietnam","vietnam","15.3","2023",110,"East and Southeast Asia"
"Suriname","suriname","15.2","2023",111,"South America"
"Indonesia","indonesia","15.1","2023",112,"East and Southeast Asia"
"Colombia","colombia","15.1","2023",113,"South America"
"Antigua and Barbuda","antigua-and-barbuda","15","2023",114,"Central America and the Caribbean"
"Faroe Islands","faroe-islands","14.9","2023",115,"Europe"
"Iran","iran","14.8","2023",116,"Middle East"
"Kosovo","kosovo","14.6","2023",117,"Europe"
"Sri Lanka","sri-lanka","14.6","2023",118,"South Asia"
"Malaysia","malaysia","14.4","2023",119,"East and Southeast Asia"
"Tunisia","tunisia","14.1","2023",120,"Africa"
"Turkey (Turkiye)","turkey-turkiye","14","2023",121,"Middle East"
"New Caledonia","new-caledonia","14","2023",122,"Australia and Oceania"
"Saint Martin","saint-martin","14","2023",123,"Central America and the Caribbean"
"Mexico","mexico","14","2023",124,"North America"
"Saudi Arabia","saudi-arabia","13.9","2023",125,"Middle East"
"Gibraltar","gibraltar","13.8","2023",126,"Europe"
"Greenland","greenland","13.7","2023",127,"North America"
"Grenada","grenada","13.6","2023",128,"Central America and the Caribbean"
"Dominica","dominica","13.6","2023",129,"Central America and the Caribbean"
"Korea, North","korea-north","13.4","2023",130,"East and Southeast Asia"
"Brazil","brazil","13.4","2023",131,"South America"
"Turks and Caicos Islands","turks-and-caicos-islands","13.2","2023",132,"Central America and the Caribbean"
"French Polynesia","french-polynesia","13.2","2023",133,"Australia and Oceania"
"Bahamas, The","bahamas-the","13.1","2023",134,"Central America and the Caribbean"
"Curacao","curacao","13.1","2023",135,"Central America and the Caribbean"
"Lebanon","lebanon","12.9","2023",136,"Middle East"
"Iceland","iceland","12.8","2023",137,"Europe"
"Uruguay","uruguay","12.7","2023",138,"South America"
"New Zealand","new-zealand","12.7","2023",139,"Australia and Oceania"
"Chile","chile","12.6","2023",140,"South America"
"Albania","albania","12.5","2023",141,"Europe"
"Sint Maarten","sint-maarten","12.4","2023",142,"Central America and the Caribbean"
"Jersey","jersey","12.3","2023",143,"Europe"
"Cook Islands","cook-islands","12.3","2023",144,"Australia and Oceania"
"Georgia","georgia","12.3","2023",145,"Middle East"
"Bahrain","bahrain","12.3","2023",146,"Middle East"
"Australia","australia","12.2","2023",147,"Australia and Oceania"
"United States","united-states","12.2","2023",148,"North America"
"Wallis and Futuna","wallis-and-futuna","12.1","2023",149,"Australia and Oceania"
"Seychelles","seychelles","12.1","2023",150,"Africa"
"Saint Vincent and the Grenadines","saint-vincent-and-the-grenadines","12.1","2023",151,"Central America and the Caribbean"
"Saint Kitts and Nevis","saint-kitts-and-nevis","12.1","2023",152,"Central America and the Caribbean"
"Anguilla","anguilla","11.9","2023",153,"Central America and the Caribbean"
"Aruba","aruba","11.7","2023",154,"Central America and the Caribbean"
"Saint Lucia","saint-lucia","11.7","2023",155,"Central America and the Caribbean"
"Luxembourg","luxembourg","11.6","2023",156,"Europe"
"Palau","palau","11.6","2023",157,"Australia and Oceania"
"Cayman Islands","cayman-islands","11.6","2023",158,"Central America and the Caribbean"
"Azerbaijan","azerbaijan","11.5","2023",159,"Middle East"
"Virgin Islands","virgin-islands","11.4","2023",160,"Central America and the Caribbean"
"Denmark","denmark","11.3","2023",161,"Europe"
"Ireland","ireland","11.3","2023",162,"Europe"
"Montenegro","montenegro","11","2023",163,"Europe"
"Bermuda","bermuda","11","2023",164,"North America"
"France","france","10.9","2023",165,"Europe"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","10.9","2012",166,"South America"
"British Virgin Islands","british-virgin-islands","10.9","2023",167,"Central America and the Caribbean"
"Belgium","belgium","10.9","2023",168,"Europe"
"Sweden","sweden","10.8","2023",169,"Europe"
"United Kingdom","united-kingdom","10.8","2023",170,"Europe"
"United Arab Emirates","united-arab-emirates","10.8","2023",171,"Middle East"
"Armenia","armenia","10.8","2023",172,"Middle East"
"Montserrat","montserrat","10.7","2023",173,"Central America and the Caribbean"
"Barbados","barbados","10.7","2023",174,"Central America and the Caribbean"
"Costa Rica","costa-rica","10.7","2023",175,"Central America and the Caribbean"
